Gene ID	CCDS ID
ENSMUSG00000064267	
ENSMUSG00000017307	
ENSMUSG00000084334	
ENSMUSG00000071456	
ENSMUSG00000064267	CCDS19644
ENSMUSG00000043621	CCDS18830
ENSMUSG00000003153	CCDS20502
ENSMUSG00000060803	CCDS29411
ENSMUSG00000083472	
ENSMUSG00000099390	
ENSMUSG00000053158	
ENSMUSG00000050533	
ENSMUSG00000060738	CCDS26406
ENSMUSG00000099390	
ENSMUSG00000099390	
ENSMUSG00000043621	CCDS18830
ENSMUSG00000033904	CCDS21775
ENSMUSG00000022305	CCDS27446
ENSMUSG00000028096	CCDS17650
ENSMUSG00000062006	CCDS17841
ENSMUSG00000106786	
ENSMUSG00000043621	CCDS18830
ENSMUSG00000039717	
ENSMUSG00000033904	
ENSMUSG00000022305	
ENSMUSG00000050933	CCDS28430
ENSMUSG00000039717	
ENSMUSG00000062006	
ENSMUSG00000037005	CCDS30106
ENSMUSG00000043621	
ENSMUSG00000022305	
ENSMUSG00000062006	CCDS17841
ENSMUSG00000002679	
ENSMUSG00000030491	
ENSMUSG00000106615	
ENSMUSG00000003153	
ENSMUSG00000037005	
ENSMUSG00000101243	
ENSMUSG00000039717	CCDS50864
ENSMUSG00000039976	CCDS25711
ENSMUSG00000062006	
ENSMUSG00000033904	
ENSMUSG00000030491	
ENSMUSG00000002679	
ENSMUSG00000003153	
ENSMUSG00000100640	
ENSMUSG00000111257	
ENSMUSG00000037005	
ENSMUSG00000039717	
ENSMUSG00000033904	
ENSMUSG00000003153	
ENSMUSG00000062006	
ENSMUSG00000002679	
ENSMUSG00000037005	CCDS81125
ENSMUSG00000030491	
ENSMUSG00000020741	CCDS36223
ENSMUSG00000033904	
ENSMUSG00000003153	
ENSMUSG00000106846	
ENSMUSG00000039976	
ENSMUSG00000100628	
ENSMUSG00000062006	
ENSMUSG00000109078	
ENSMUSG00000039717	CCDS50863
ENSMUSG00000033904	CCDS21775
ENSMUSG00000003153	
ENSMUSG00000037005	
ENSMUSG00000110732	
ENSMUSG00000039976	
ENSMUSG00000062006	
ENSMUSG00000003153	
ENSMUSG00000002679	
ENSMUSG00000020741	
ENSMUSG00000039717	
ENSMUSG00000062006	
ENSMUSG00000003153	
ENSMUSG00000100989	
ENSMUSG00000002679	
ENSMUSG00000105521	
ENSMUSG00000030491	CCDS21151
ENSMUSG00000020741	
ENSMUSG00000107066	
ENSMUSG00000087404	
ENSMUSG00000017307	CCDS17057
ENSMUSG00000028096	
ENSMUSG00000039865	CCDS51060
ENSMUSG00000106948	
ENSMUSG00000030491	
ENSMUSG00000002679	CCDS26023
ENSMUSG00000028096	
ENSMUSG00000107282	
ENSMUSG00000030491	
ENSMUSG00000085548	
ENSMUSG00000017307	
