Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000260910	LINC00565	100861555	1
ENSG00000271901	RP11-266E6.3		1
ENSG00000202339	RNU4-45P		1
ENSG00000232487	RASA3-IT1		1
ENSG00000226043	AP000705.7		1
ENSG00000231910	GAMTP2		1
ENSG00000264539	MIR548AR	100847035	1
ENSG00000261728	RP11-307O13.1		1
ENSG00000223488	MAPK6PS2		2
ENSG00000265450	MIR4502	100616227	1
ENSG00000232795	SCAND3P1		1
ENSG00000226158	CLCP2		1
ENSG00000234835	PHBP13		1
ENSG00000229723	LINC01054		1
ENSG00000268343	AC012414.1		1
ENSG00000221519	AL390071.1		1
ENSG00000236036	LINC00445	100507114	1
ENSG00000207203	RNU6-71P	100873774	1
ENSG00000169861	IGHV1OR21-1		8
ENSG00000266047	AL139377.1		1
ENSG00000223383	HIST1H2APS6		1
ENSG00000222602	AL136160.1		1
ENSG00000235306	GAPDHP34		2
ENSG00000223543	TCEAL4P1		1
ENSG00000215486	ARL2BPP3		4
ENSG00000261631	KLHL10	317719	1
ENSG00000230031	POTEB2	100996331	6
ENSG00000230031	POTEB2	100287399	6
ENSG00000271337	NDE1P2		1
ENSG00000236711	SMAD9-AS1		2
ENSG00000228825	LAMTOR3P1		1
ENSG00000232378	RPL29P28		1
ENSG00000226161	EIF4A1P5		1
ENSG00000221100	AL138706.1		1
ENSG00000202395	RN7SKP1		1
ENSG00000230283	RPS12P24		1
ENSG00000234034	AP000959.2		1
ENSG00000230390	LINC01048		1
ENSG00000263796	RN7SL609P		1
ENSG00000199276	RNA5SP26		1
ENSG00000225906	AP000949.1		1
ENSG00000228036	HSPD1P9		1
ENSG00000230972	AP001255.2		1
ENSG00000259896	KLHL11	55175	1
ENSG00000223685	LINC00571	100874188	1
ENSG00000219368	ZNF299P		3
ENSG00000236354	LINC00437	101929121	1
ENSG00000231058	MSANTD2P1		1
ENSG00000229437	LINC00366		1
ENSG00000223078	RNU2-55P		1
ENSG00000234701	PRDX3P3		1
ENSG00000228592	AP000459.4	266917	1
ENSG00000252795	RNU6-56P	100873764	1
ENSG00000212049	AL590007.1		1
ENSG00000270824	IGHD5OR15-5B		1
ENSG00000225350	FREM2-AS1		1
ENSG00000225221	PLA2G12AP2		1
ENSG00000270451	IGHD4OR15-4B		1
ENSG00000235550	ANKRD26P2		1
ENSG00000223822	EEF1A1P1		2
ENSG00000271255	IGHD3OR15-3B		1
ENSG00000214823	NXT1P1		3
ENSG00000271305	IGHD2OR15-2B		1
ENSG00000238408	snoU13		1
ENSG00000216014	AL512505.1		1
ENSG00000264171	MIR4305	100422940	1
ENSG00000237569	TUBAP		1
ENSG00000200526	RNY4P14		1
ENSG00000224351	CDKN2AIPNLP3		2
ENSG00000138593	SECISBP2L	9728	4
ENSG00000270444	AZU1P1		1
ENSG00000212553	SNORD116		1
ENSG00000270185	IGHD1OR15-1B		1
ENSG00000230710	LINC00332	100874127	1
ENSG00000271429	RPL17P51		1
ENSG00000207458	RNY3P9		1
ENSG00000268531	DKFZP547L112		1
ENSG00000230058	RP11-172E9.2		1
ENSG00000252812	RN7SKP2		1
ENSG00000215483	LINC00598	646982	4
ENSG00000229456	RLIMP1		1
ENSG00000211491	MIR320D1	100313896	2
