EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]	Ensembl Gene ID
57815			ENSMUSG00000027722
242915	NM_001167879		ENSMUSG00000044576
218639	NM_172595		ENSMUSG00000042348
19400			ENSMUSG00000002104
19400	NM_009023		ENSMUSG00000002104
19400			ENSMUSG00000002104
19400			ENSMUSG00000002104
67102			ENSMUSG00000022864
67102	NM_025967		ENSMUSG00000022864
67102	NM_001252438		ENSMUSG00000022864
100039863			ENSMUSG00000095247
100039863			ENSMUSG00000095247
100039863			ENSMUSG00000095247
100039939			ENSMUSG00000095247
100039939			ENSMUSG00000095247
100039939			ENSMUSG00000095247
100040048			ENSMUSG00000095247
100040048			ENSMUSG00000095247
100040048			ENSMUSG00000095247
100861978			ENSMUSG00000095247
100861978			ENSMUSG00000095247
100861978			ENSMUSG00000095247
93843			ENSMUSG00000002012
93843			ENSMUSG00000002012
93843	NM_001199352		ENSMUSG00000002012
93843	NM_001199351		ENSMUSG00000002012
93843	NM_012040		ENSMUSG00000002012
93843			ENSMUSG00000002012
18782			ENSMUSG00000041202
18782	NM_011109		ENSMUSG00000041202
			ENSMUSG00000087349
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689			ENSMUSG00000021555
78689	NM_030153		ENSMUSG00000021555
78689			ENSMUSG00000021555
75302			ENSMUSG00000037486
75302			ENSMUSG00000037486
75302			ENSMUSG00000037486
75302			ENSMUSG00000037486
75302			ENSMUSG00000037486
75302			ENSMUSG00000037486
75302	NM_172421		ENSMUSG00000037486
75302	NM_001270988		ENSMUSG00000037486
550619	NM_001017362		ENSMUSG00000066224
550619	NM_001252622		ENSMUSG00000066224
550619			ENSMUSG00000066224
550619			ENSMUSG00000066224
550619			ENSMUSG00000066224
			ENSMUSG00000095585
65956			ENSMUSG00000096873
100041504			ENSMUSG00000096873
100041593			ENSMUSG00000096873
100042493			ENSMUSG00000096873
100504239			ENSMUSG00000096873
100504346			ENSMUSG00000096873
100862177			ENSMUSG00000096873
29820	NM_001164155		ENSMUSG00000060548
29820	NM_013869		ENSMUSG00000060548
320162	NM_001166685		ENSMUSG00000018372
320162			ENSMUSG00000018372
320162			ENSMUSG00000018372
320162			ENSMUSG00000018372
320162			ENSMUSG00000018372
320162			ENSMUSG00000018372
320162	NM_177088		ENSMUSG00000018372
			ENSMUSG00000083388
			ENSMUSG00000095755
			ENSMUSG00000082548
			ENSMUSG00000084027
74152	NM_028788		ENSMUSG00000028327
74152			ENSMUSG00000028327
74152			ENSMUSG00000028327
74152			ENSMUSG00000028327
74152			ENSMUSG00000028327
			ENSMUSG00000096646
			ENSMUSG00000095473
			ENSMUSG00000031325
			ENSMUSG00000031325
			ENSMUSG00000031325
			ENSMUSG00000031325
			ENSMUSG00000031325
			ENSMUSG00000031325
			ENSMUSG00000031325
66897			ENSMUSG00000022020
66897			ENSMUSG00000022020
66897			ENSMUSG00000022020
66897	NM_025832		ENSMUSG00000022020
66897			ENSMUSG00000022020
			ENSMUSG00000096506
			ENSMUSG00000096622
241633			ENSMUSG00000060131
241633			ENSMUSG00000060131
241633			ENSMUSG00000060131
241633	NM_001080944		ENSMUSG00000060131
241633			ENSMUSG00000060131
18784	NM_001122954		ENSMUSG00000041193
18784			ENSMUSG00000041193
18784			ENSMUSG00000041193
18784			ENSMUSG00000041193
18784			ENSMUSG00000041193
18784			ENSMUSG00000041193
18784			ENSMUSG00000041193
18784			ENSMUSG00000041193
18784	NM_011110		ENSMUSG00000041193
			ENSMUSG00000095552
14211			ENSMUSG00000028312
14211			ENSMUSG00000028312
14211			ENSMUSG00000028312
14211	NM_008017		ENSMUSG00000028312
14211			ENSMUSG00000028312
327762			ENSMUSG00000036875
327762			ENSMUSG00000036875
327762			ENSMUSG00000036875
327762			ENSMUSG00000036875
327762			ENSMUSG00000036875
327762	NM_177372		ENSMUSG00000036875
670533	NM_001101613		ENSMUSG00000059845
104884			ENSMUSG00000021177
104884			ENSMUSG00000021177
104884			ENSMUSG00000021177
104884			ENSMUSG00000021177
104884	NM_028354		ENSMUSG00000021177
104884			ENSMUSG00000021177
104884			ENSMUSG00000021177
107723			ENSMUSG00000027130
107723			ENSMUSG00000027130
107723			ENSMUSG00000027130
107723			ENSMUSG00000027130
107723	NM_133648		ENSMUSG00000027130
107723	NM_133649		ENSMUSG00000027130
107723			ENSMUSG00000027130
107723			ENSMUSG00000027130
			ENSMUSG00000095207
70831	NM_027568		ENSMUSG00000070334
			ENSMUSG00000094574
			ENSMUSG00000094259
100041102			ENSMUSG00000095666
100862115			ENSMUSG00000095666
74007			ENSMUSG00000020042
74007			ENSMUSG00000020042
74007			ENSMUSG00000020042
74007			ENSMUSG00000020042
74007			ENSMUSG00000020042
74007	NM_001017525		ENSMUSG00000020042
74007			ENSMUSG00000020042
74007	NM_028709		ENSMUSG00000020042
670550	NM_001126323		ENSMUSG00000078256
140494			ENSMUSG00000038600
140494			ENSMUSG00000038600
140494			ENSMUSG00000038600
140494			ENSMUSG00000038600
140494			ENSMUSG00000038600
140494			ENSMUSG00000038600
140494	NM_080467		ENSMUSG00000038600
			ENSMUSG00000084349
			ENSMUSG00000084349
15374			ENSMUSG00000020737
15374			ENSMUSG00000020737
15374			ENSMUSG00000020737
15374			ENSMUSG00000020737
15374	NM_008258		ENSMUSG00000020737
432602	NM_001025244		ENSMUSG00000051481
			ENSMUSG00000096680
237859			ENSMUSG00000037958
237859			ENSMUSG00000037958
237859	NM_001012309		ENSMUSG00000037958
100554			ENSMUSG00000095505
100862150			ENSMUSG00000095505
13543			ENSMUSG00000020888
13543			ENSMUSG00000020888
13543			ENSMUSG00000020888
13543			ENSMUSG00000020888
13543			ENSMUSG00000020888
13543	NM_007888		ENSMUSG00000020888
			ENSMUSG00000083364
			ENSMUSG00000083364
435286	NM_001085527		ENSMUSG00000078255
			ENSMUSG00000082090
331195			ENSMUSG00000094741
100503733			ENSMUSG00000094741
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714			ENSMUSG00000027425
228714	NM_001166640		ENSMUSG00000027425
228714			ENSMUSG00000027425
228714	NM_001164813		ENSMUSG00000027425
228714	NM_181417		ENSMUSG00000027425
			ENSMUSG00000074720
			ENSMUSG00000078254
			ENSMUSG00000081255
			ENSMUSG00000080914
100504183	NM_001256057		ENSMUSG00000078253
	NM_181549		ENSMUSG00000033633
665290			ENSMUSG00000094337
665290			ENSMUSG00000094337
665802			ENSMUSG00000094337
665802			ENSMUSG00000094337
665943			ENSMUSG00000094337
665943			ENSMUSG00000094337
100038995			ENSMUSG00000094337
100038995			ENSMUSG00000094337
100039010			ENSMUSG00000094337
100039010			ENSMUSG00000094337
100040885			ENSMUSG00000094337
100040885			ENSMUSG00000094337
100041032			ENSMUSG00000094337
100041032			ENSMUSG00000094337
100041179			ENSMUSG00000094337
100041179			ENSMUSG00000094337
100041354			ENSMUSG00000094337
100041354			ENSMUSG00000094337
100041712			ENSMUSG00000094337
100041712			ENSMUSG00000094337
100862115			ENSMUSG00000094337
100862115			ENSMUSG00000094337
100862202			ENSMUSG00000094337
100862202			ENSMUSG00000094337
100862245			ENSMUSG00000094337
100862245			ENSMUSG00000094337
18780			ENSMUSG00000058908
18780		NR_002926	ENSMUSG00000058908
18780			ENSMUSG00000058908
18780	NM_001082531		ENSMUSG00000058908
77914	NM_001099774		ENSMUSG00000078252
			ENSMUSG00000076613
258198	NM_207695		ENSMUSG00000059279
